name,atlasName,cohortId,atlasId
Celiac disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 194992001] Celiac disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,194992001,17433
"Acute kidney injury diagnosis during hospitalization, defined by condition occurrences of 'acute renal failure' conceptset occurring between start and end of inpatient visit","[PL 197320004] Acute kidney injury diagnosis during hospitalization, defined by condition occurrences of 'acute renal failure' conceptset occurring between start and end of inpatient visit",197320004,7382
"Hepatitis C prevalent cohort: First condition occurrence of 'Hepatitis C' conceptset (with Viral Hepatitis Carrier, Cirrhosis of liver due to chronic hepatitis C)","[PL 197494004] Hepatitis C prevalent cohort:  First condition occurrence of 'Hepatitis C' conceptset (with Viral Hepatitis Carrier, Cirrhosis of liver due to chronic hepatitis C)",197494004,17829
Malignant tumor of urinary bladder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 197508001] Malignant tumor of urinary bladder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,197508001,17575
"Cardiogenic shock by Vallabhajosyula, All events of Cardiogenic shock during inpatient or ER","[PL 198571003] Cardiogenic shock by Vallabhajosyula, All events of Cardiogenic shock during inpatient or ER",198571003,18604
Primary malignant neoplasm of kidney referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 198985001] Primary malignant neoplasm of kidney referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,198985001,17633
Acute pancreatitis prevalent cohort: defined by condition occurrences of 'Acute pancreatitis' conceptset occurring between start and end of inpatient or ER visit,[PL 199074003] Acute pancreatitis prevalent cohort: defined by condition occurrences of 'Acute pancreatitis' conceptset occurring between start and end of inpatient or ER visit,199074003,17747
Abdominal pain referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 200219001] Abdominal pain referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,200219001,17375
Toxic shock syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 201214001] Toxic shock syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,201214001,18709
Type 1 diabetes mellitus incident cohort: First occurrence of 'Type 1 diabetes mellitus' concept with >=365d prior observation,[PL 201254003] Type 1 diabetes mellitus incident cohort: First occurrence of 'Type 1 diabetes mellitus' concept with >=365d prior observation,201254003,18999
Gastritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 201340001] Gastritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,201340001,17489
Crohn's disease for first time with no history (Thirumurthi),[PL 201606003] Crohn's disease for first time with no history (Thirumurthi),201606003,15078
Kidney stone referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 201620001] Kidney stone referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,201620001,17545
Type 2 diabetes mellitus incident cohort: First condition occurrence of 'Type 2 diabetes mellitus' conceptset or Type 2 diabetes treatment or HbA1c > 6.5 and no prior observation of 'History of diabetes',[PL 201826005] Type 2 diabetes mellitus incident cohort: First condition occurrence of 'Type 2 diabetes mellitus' conceptset or Type 2 diabetes treatment or HbA1c > 6.5 and no prior observation of 'History of diabetes',201826005,18934
Sjogren's syndrome at first diagnosis,[PL 254443003] Sjogren's syndrome at first diagnosis,254443003,8816
"Hospitalization for Chronic obstructive pulmonary disease, defined by inpatient visit with a primary condition occurrence of 'COPD' conceptset","[PL 255573003] Hospitalization for Chronic obstructive pulmonary disease, defined by inpatient visit with a primary condition occurrence of 'COPD' conceptset",255573003,17742
"Pneumonia prevalent cohort: Episodes of pneumonia, defined by condition occurrences of 'pneumonia' conceptset","[PL 255848004] Pneumonia prevalent cohort: Episodes of pneumonia, defined by condition occurrences of 'pneumonia' conceptset",255848004,17743
Allergic rhinitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 257007001] Allergic rhinitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,257007001,17391
Systemic lupus erythematosus (SLE) at first diagnosis,[PL 257628003] Systemic lupus erythematosus (SLE) at first diagnosis,257628003,13719
"Acute myocardial infarction events, defined by condition occurrences of 'Acute myocardial Infarction' conceptset occurring between start and end of inpatient or ER visit","[PL 312327003] Acute myocardial infarction events, defined by condition occurrences of 'Acute myocardial Infarction' conceptset occurring between start and end of inpatient or ER visit",312327003,17753
"Dyspnea prevalent cohort: Episodes of dyspnea, defined by condition occurrences of 'shortness of breath (dyspnea)' conceptset","[PL 312437003] Dyspnea prevalent cohort:  Episodes of dyspnea, defined by condition occurrences of 'shortness of breath (dyspnea)' conceptset",312437003,17725
Thromboangiitis obliterans referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 312939001] Thromboangiitis obliterans referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,312939001,18703
"Atrial fibrillation incident cohort: First occurrence of Atrial fibrillation with descendants with >=365d prior observation, removing family history code","[PL 313217006] Atrial fibrillation incident cohort: First occurrence of Atrial fibrillation with descendants with >=365d prior observation, removing family history code",313217006,17878
Granulomatosis with polyangiitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 313223001] Granulomatosis with polyangiitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,313223001,18651
Sleep apnea referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 313459001] Sleep apnea referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,313459001,17677
"Thrombotic microangiopathy events, based on diagnosis codes from Reynolds AJKD 2003 and Perkins NDT 2006","[PL 313800003] Thrombotic microangiopathy events, based on diagnosis codes from Reynolds AJKD 2003 and Perkins NDT 2006",313800003,18570
"Multi-system inflammatory syndrome (Kawasaki disease or toxic shock syndrome) episodes, defined by condition occurrences of 'Toxic shock syndrome or kawasaki disease' conceptset","[PL 314381003] Multi-system inflammatory syndrome (Kawasaki disease or toxic shock syndrome) episodes, defined by condition occurrences of 'Toxic shock syndrome or kawasaki disease' conceptset",314381003,16234
"Myocarditis by Sundbøll, First diagnosis of custom codes from Sundbøll, during inpatient or outpatient","[PL 314383003] Myocarditis by Sundbøll, First diagnosis of custom codes from Sundbøll, during inpatient or outpatient",314383003,18520
Heart failure referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 316139001] Heart failure referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,316139001,17505
Hypertensive disorder prevalent cohort: First condition occurrence of 'Hypertension' conceptset,[PL 316866003] Hypertensive disorder prevalent cohort:  First condition occurrence of 'Hypertension' conceptset,316866003,17760
"Hospitalization for Asthma, defined by inpatient visit with a primary condition occurrence of 'asthma' conceptset","[PL 317009003] Hospitalization for Asthma, defined by inpatient visit with a primary condition occurrence of 'asthma' conceptset",317009003,17741
Migraine incident cohort: First occurrence of 'Migraine excluding abdominal migraine'+ descendants excluding abdominal migraine with >=365d prior observation,[PL 318736003] Migraine incident cohort: First occurrence of 'Migraine excluding abdominal migraine'+ descendants excluding abdominal migraine with >=365d prior observation,318736003,17843
Gastroesophageal reflux disease incident cohort: First occurrence of 'GERD' concept with >=365d prior observation,[PL 318800003] Gastroesophageal reflux disease incident cohort: First occurrence of 'GERD' concept with >=365d prior observation,318800003,19000
Acute respiratory failure incident cohort: First occurrence of 'Acute respiratory failure' conceptset with >=365d prior observation,[PL 319049003] Acute respiratory failure incident cohort: First occurrence of 'Acute respiratory failure' conceptset with >=365d prior observation,319049003,18940
Peripheral vascular disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 321052001] Peripheral vascular disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,321052001,17625
Otitis media referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 372328001] Otitis media referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,372328001,17615
"Transient ischemic attack events, defined by condition occurrences of 'Transient cerebral Ischemia (TCA)' conceptset occurring between start and end of inpatient or ER visit","[PL 373503003] Transient ischemic attack events, defined by condition occurrences of 'Transient cerebral Ischemia (TCA)' conceptset occurring between start and end of inpatient or ER visit",373503003,17750
"Acute disseminated encephalomyelitis hospitalization events, using diagnosis codes from Minegishi 2019","[PL 374021003] Acute disseminated encephalomyelitis hospitalization events, using diagnosis codes from Minegishi 2019",374021003,18567
Multiple Sclerosis (MS) at first diagnosis,[PL 374919003] Multiple Sclerosis (MS) at first diagnosis,374919003,17093
Optic neuritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 374954001] Optic neuritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,374954001,18683
"Hemorrhagic stroke events, defined by condition occurrences of 'intracranial bleed Hemorrhagic stroke' conceptset occurring between start and end of inpatient or ER visit","[PL 376713003] Hemorrhagic stroke events, defined by condition occurrences of 'intracranial bleed Hemorrhagic stroke' conceptset occurring between start and end of inpatient or ER visit",376713003,17752
"Alzheimer's disease by Imfeld Epilepsia, 2013","[PL 378419003] Alzheimer's disease by Imfeld Epilepsia, 2013",378419003,18982
Epilepsy Moura 1,[PL 380378008] Epilepsy Moura 1,380378008,18835
Parkinson's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 381270001] Parkinson's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,381270001,17619
"Stroke events, defined by condition occurrences of 'Stroke (ischemic or hemorrhagic)' conceptset occurring between start and end of inpatient or ER visit","[PL 381316003] Stroke events, defined by condition occurrences of 'Stroke (ischemic or hemorrhagic)' conceptset occurring between start and end of inpatient or ER visit",381316003,17749
"Angioedema events, defined by condition occurrences of 'Angioedema' conceptset occurring between start and end of inpatient or ER visit","[PL 432791003] Angioedema events, defined by condition occurrences of 'Angioedema' conceptset occurring between start and end of inpatient or ER visit",432791003,7377
Hyperlipidemia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 432867001] Hyperlipidemia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,432867001,17519
"Idiopathic thrombocytopenic purpura events, as defined by diagnosis codes from Shaw Platelets 2020","[PL 432870003] Idiopathic thrombocytopenic purpura events, as defined by diagnosis codes from Shaw Platelets 2020",432870003,18573
"Thrombocytopenia events, as defined by diagnosis codes from Altomare ClinEpi 2016","[PL 432870004] Thrombocytopenia events, as defined by diagnosis codes from Altomare ClinEpi 2016",432870004,18576
Obesity prevalent cohort: Earliest of condition occurrence or observation of 'obesity diagnoses' conceptset or BMI > 30 or body weight > 120kg,[PL 433736003] Obesity prevalent cohort:  Earliest of condition occurrence or observation of 'obesity diagnoses' conceptset or BMI > 30 or body weight > 120kg,433736003,17763
Hidradenitis at first diagnosis,[PL 434119003] Hidradenitis at first diagnosis,434119003,17146
Tuberculosis prevalent cohort: First condition occurrence of 'Respiratory and pulmonary tuberculosis' conceptset,[PL 434557003] Tuberculosis prevalent cohort:  First condition occurrence of 'Respiratory and pulmonary tuberculosis' conceptset,434557003,17719
"B-cell lymphoma incident cohort: First occurrence of ""B-cell lymphoma"" with exclusions + descendants with >=365d prior observation","[PL 434592003] B-cell lymphoma incident cohort: First occurrence of ""B-cell lymphoma"" with exclusions + descendants with >=365d prior observation",434592003,17845
"Schizophrenia by Ren, 2005 and repeated in literature","[PL 435783003] Schizophrenia by Ren,  2005 and repeated in literature",435783003,18990
"Hospitalization for Psychosis, defined by inpatient visit with a primary condition occurrence of 'psychosis' conceptset","[PL 436073003] Hospitalization for Psychosis, defined by inpatient visit with a primary condition occurrence of 'psychosis' conceptset",436073003,16526
Narcolepsy (generalized algorithm from literature),[PL 436100003] Narcolepsy (generalized algorithm from literature),436100003,18574
Behcet's syndrome custom concept (includes arthropathy) incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 436642004] Behcet's syndrome custom concept (includes arthropathy) incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,436642004,18140
Bipolar disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 436665001] Bipolar disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,436665001,17429
Posttraumatic stress disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 436676001] Posttraumatic stress disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,436676001,17631
Insomnia with disorders of maintaing sleep concept prevalent cohort: First occurrence of expanded concept + descendants (excluding hypo/hypersomnias),[PL 436962003] Insomnia with disorders of maintaing sleep concept prevalent cohort: First occurrence of expanded concept + descendants (excluding hypo/hypersomnias),436962003,17869
Ankylosing spondylitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 437082001] Ankylosing spondylitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,437082001,17403
Multiple myeloma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 437233001] Multiple myeloma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,437233001,17585
Glaucoma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 437541001] Glaucoma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,437541001,17495
Attention deficit hyperactivity disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 438409001] Attention deficit hyperactivity disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,438409001,17417
HIV prevalent cohort: First occurrence of 'HIV excluding HIV-II' conceptset,[PL 439727004] HIV prevalent cohort: First occurrence of 'HIV excluding HIV-II' conceptset,439727004,17716
Autism spectrum disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 439776001] Autism spectrum disorder referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,439776001,17419
"Depressive disorder prevalent cohort, defined as the earliest condition occurrence of 'Depressive disorder' conceptset with no teratment more than 30 days prior and no prior psychosies/mania","[PL 440383003] Depressive disorder prevalent cohort, defined as the earliest condition occurrence of 'Depressive disorder' conceptset with no teratment more than 30 days prior and no prior psychosies/mania",440383003,16527
"Pulmonary embolism events, defined by condition occurrences of 'Pulmonary embolism' conceptset","[PL 440417003] Pulmonary embolism events, defined by condition occurrences of 'Pulmonary embolism' conceptset",440417003,17732
Gout referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 440674001] Gout referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,440674001,17497
Takayasu's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 440740001] Takayasu's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,440740001,17685
Anaphylactic reaction by Walsh (Mini-sentinial validated definition),[PL 441202003] Anaphylactic reaction by Walsh (Mini-sentinial validated definition),441202003,18487
Malignant tumor of stomach referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 443387001] Malignant tumor of stomach referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,443387001,17573
"Ischemic stroke events, defined by condition occurrences of 'Ischemic stroke' conceptset occurring between start and end of inpatient or ER visit","[PL 443454003] Ischemic stroke events, defined by condition occurrences of 'Ischemic stroke' conceptset occurring between start and end of inpatient or ER visit",443454003,17751
Acute tubular necrosis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 444044001] Acute tubular necrosis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,444044001,17387
Non-Hodgkin's lymphoma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4038838001] Non-Hodgkin's lymphoma referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4038838001,17599
Inflammatory bowel disease,[PL 4074815003] Inflammatory bowel disease,4074815003,17144
Facial palsy referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4091559001] Facial palsy referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4091559001,18643
"ventricular arrhythmia or cardiac arrest during hospitalization, defined by condition occurrences of 'ventricular arrhythmia or cardiac arrest' conceptset occurring between start and end of inpatient visit","[PL 4103295003] ventricular arrhythmia or cardiac arrest during hospitalization, defined by condition occurrences of 'ventricular arrhythmia or cardiac arrest' conceptset occurring between start and end of inpatient visit",4103295003,17737
"Deep vein thrombosis events, defined by condition occurrences of 'deep vein thrombosis' conceptset","[PL 4133004005] Deep vein thrombosis events, defined by condition occurrences of 'deep vein thrombosis' conceptset",4133004005,18939
"Guillain-Barre syndrome inpatient (Arya et al, ScallenWalter et al, Iqbal et al, Anandan et al, Rasmussen et al. Baxter et al.)","[PL 4164770003] Guillain-Barre syndrome inpatient (Arya et al, ScallenWalter et al, Iqbal et al, Anandan et al, Rasmussen et al. Baxter et al.)",4164770003,18478
Malignant tumor of colon referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4180790001] Malignant tumor of colon referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4180790001,17565
Malignant tumor of esophagus referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4181343001] Malignant tumor of esophagus referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4181343001,17567
Dementia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4182210001] Dementia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4182210001,17461
Aseptic meningitis by Perez-Vilar (specific codes for meningitias excluding encephalitis diagnosis),[PL 4201096003] Aseptic meningitis by Perez-Vilar (specific codes for meningitias excluding encephalitis diagnosis),4201096003,18506
"Hepatic failure prevalent cohort: First condition occurrence of 'hepatic failure, necrosis or coma' conceptset","[PL 4245975003] Hepatic failure prevalent cohort:  First condition occurrence of 'hepatic failure, necrosis or coma' conceptset",4245975003,14858
Malignant neoplasm of liver referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4246127001] Malignant neoplasm of liver referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4246127001,17559
Respiratory failure referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4256228001] Respiratory failure referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4256228001,17655
Influenza custom cohort: Flu-like symptom episodes,[PL 4266367003] Influenza custom cohort: Flu-like symptom episodes,4266367003,18765
Type B viral hepatitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4281232001] Type B viral hepatitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4281232001,17697
Giant cell arteritis at first diagnosis (no history of giant cell arteritis),[PL 4290976003] Giant cell arteritis at first diagnosis (no history of giant cell arteritis),4290976003,11651
Primary malignant neoplasm of respiratory tract referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4311499001] Primary malignant neoplasm of respiratory tract referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4311499001,17635
Pulmonary hypertension referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 4322024001] Pulmonary hypertension referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,4322024001,17647
Stress Cardiomyopathy as per Bhat et al (US 2020),[PL 40479589003] Stress Cardiomyopathy as per Bhat et al (US 2020),40479589003,18561
Vasculitis associated with Antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis,[PL 42535714003] Vasculitis associated with Antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis,42535714003,11953
"Anosmia OR Hyposmia OR Dysgeusia episodes, defined by condition occurrences of 'Altered smell or taste' conceptset","[PL 43530714003] Anosmia OR Hyposmia OR Dysgeusia episodes, defined by condition occurrences of 'Altered smell or taste' conceptset",43530714003,17726
Cardiac arrhythmia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,[PL 44784217001] Cardiac arrhythmia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,44784217001,18627
Fracture of bone of hip region (dx + px) referent concept incident cohort (aged 50-89): First occurrence of hip fracture dx or procedure with >=365d prior observation,[PL 45763653003] Fracture of bone of hip region (dx + px) referent concept incident cohort (aged 50-89): First occurrence of hip fracture dx or procedure with >=365d prior observation,45763653003,17855
Chronic kidney disease incident cohort: First condition occurrence of 'chronic kidney disease' conceptset,[PL 46271022006] Chronic kidney disease incident cohort:  First condition occurrence of 'chronic kidney disease' conceptset,46271022006,18938
